hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
1,1,0.01,None,1,0.5880989227645395,26.41946005821228
1,1,0.05,None,1,0.5841596651665463,7.259806553522746
1,1,0.1,None,1,0.5831035601529684,5.52936863899231
1,1,0.5,None,1,0.5182841727259365,4.12831989924113
1,1,1,None,1,0.46474784189471174,4.094976345698039
1,10,0.01,None,1,0.5796360379209813,21.92728567123413
1,10,0.05,None,1,0.5833968248305427,7.217437028884888
1,10,0.1,None,1,0.5858904070184603,5.844324588775635
1,10,0.5,None,1,0.5024875981262492,4.138769626617432
1,10,1,None,1,0.4576373562121483,4.096349716186523
1,100,0.01,None,1,0.5878365252108112,25.210889259974163
1,100,0.05,None,1,0.5920851220043359,7.18302305539449
1,100,0.1,None,1,0.5805875406287465,6.093295017878215
1,100,0.5,None,1,0.5102430413179854,4.121655543645223
1,100,1,None,1,0.4491677369066896,4.115326325098674
1,1000,0.01,None,1,0.5719542589050758,24.734288692474365
1,1000,0.05,None,1,0.5870763346017466,7.7586155732472735
1,1000,0.1,None,1,0.5789373124872347,5.446505626042684
1,1000,0.5,None,1,0.5063385404905812,4.136502345403035
1,1000,1,None,1,0.4421114678458899,4.087931076685588
10,1,0.01,None,1,0.5723502417845404,25.505993286768597
10,1,0.05,None,1,0.5913175034869317,7.92980972925822
10,1,0.1,None,1,0.5784298940454558,5.712910413742065
10,1,0.5,None,1,0.5087359881676492,4.120826959609985
10,1,1,None,1,0.458101483492613,4.124205112457275
10,10,0.01,None,1,0.5738109239061603,24.179912567138672
10,10,0.05,None,1,0.5851163347437889,8.125088532765707
10,10,0.1,None,1,0.5833181171116482,5.669969002405803
10,10,0.5,None,1,0.5165893552546987,4.089541594187419
10,10,1,None,1,0.4522595804972154,4.09589163462321
10,100,0.01,None,1,0.5748010579705322,22.211277961730957
10,100,0.05,None,1,0.5851343677835017,7.454926331837972
10,100,0.1,None,1,0.5819070471584857,6.126660664876302
10,100,0.5,None,1,0.511084859327312,4.119092623392741
10,100,1,None,1,0.463401112682481,4.1338967482248945
10,1000,0.01,None,1,0.5787158407560095,23.485790888468426
10,1000,0.05,None,1,0.5876297290988711,8.001126766204834
10,1000,0.1,None,1,0.5810017424317921,5.903875668843587
10,1000,0.5,None,1,0.5177189526989837,4.141631603240967
10,1000,1,None,1,0.43624955570630336,4.100819110870361
100,1,0.01,None,1,0.5767429928279433,24.87511197725932
100,1,0.05,None,1,0.5800825141052198,7.486926555633545
100,1,0.1,None,1,0.5792421782003319,5.724859396616618
100,1,0.5,None,1,0.508590579758509,4.124375979105632
100,1,1,None,1,0.4591752487174909,4.122298796971639
100,10,0.01,None,1,0.5808364064847124,25.877915302912395
100,10,0.05,None,1,0.5853592543634633,7.695535024007161
100,10,0.1,None,1,0.5887830787769283,5.672437826792399
100,10,0.5,None,1,0.5114966722466024,4.150638421376546
100,10,1,None,1,0.458031249121091,4.095833857854207
100,100,0.01,None,1,0.5770150079826556,24.37560788790385
100,100,0.05,None,1,0.585666829791787,7.948180039723714
100,100,0.1,None,1,0.5859129276173052,5.9204338391621905
100,100,0.5,None,1,0.5109500212640117,4.105081558227539
100,100,1,None,1,0.4391026147550816,4.139182726542155
100,1000,0.01,None,1,0.5769846323119352,25.73953453699748
